lang,langType,territory,revGenDate,defs,dftLang,file
uz-Cyrl-UZ,uz,UZ,,0,False,uz_Cyrl_UZ.xml
uz-Latn,uz,,,0,False,uz_Latn.xml
uz-Latn-UZ,uz,UZ,,0,False,uz_Latn_UZ.xml
vai,vai,,,6,False,vai.xml
vai-Latn,vai,,,6,False,vai_Latn.xml
vai-Latn-LR,vai,LR,,0,False,vai_Latn_LR.xml
vai-Vaii,vai,,,0,False,vai_Vaii.xml
vai-Vaii-LR,vai,LR,,0,False,vai_Vaii_LR.xml
vi,vi,,,11,False,vi.xml
vi-VN,vi,VN,,0,False,vi_VN.xml
vo,vo,,,6,False,vo.xml
vo-001,vo,001,,0,False,vo_001.xml
vun,vun,,,6,False,vun.xml
vun-TZ,vun,TZ,,0,False,vun_TZ.xml
wae,wae,,,8,False,wae.xml
wae-CH,wae,CH,,0,False,wae_CH.xml
wo,wo,,,8,False,wo.xml
wo-SN,wo,SN,,0,False,wo_SN.xml
xh,xh,,,6,False,xh.xml
xh-ZA,xh,ZA,,0,False,xh_ZA.xml
xog,xog,,,6,False,xog.xml
xog-UG,xog,UG,,0,False,xog_UG.xml
yav,yav,,,6,False,yav.xml
yav-CM,yav,CM,,0,False,yav_CM.xml
yi,yi,,,8,False,yi.xml
yi-001,yi,001,,0,False,yi_001.xml
yo,yo,,,8,False,yo.xml
yo-BJ,yo,BJ,,6,False,yo_BJ.xml
yo-NG,yo,NG,,0,False,yo_NG.xml
yue,yue,,,10,False,yue.xml
yue-Hans,yue,,,10,False,yue_Hans.xml
yue-Hans-CN,yue,CN,,0,False,yue_Hans_CN.xml
yue-Hant,yue,,,0,False,yue_Hant.xml
yue-Hant-HK,yue,HK,,0,False,yue_Hant_HK.xml
zgh,zgh,,,6,False,zgh.xml
zgh-MA,zgh,MA,,0,False,zgh_MA.xml
zh,zh,,,10,False,zh.xml
zh-Hans,zh,,,0,False,zh_Hans.xml
zh-Hans-CN,zh,CN,,0,False,zh_Hans_CN.xml
zh-Hans-HK,zh,HK,,3,False,zh_Hans_HK.xml
zh-Hans-MO,zh,MO,,3,False,zh_Hans_MO.xml
zh-Hans-SG,zh,SG,,3,False,zh_Hans_SG.xml
zh-Hant,zh,,,10,False,zh_Hant.xml
zh-Hant-HK,zh,HK,,8,False,zh_Hant_HK.xml
zh-Hant-MO,zh,MO,,1,False,zh_Hant_MO.xml
zh-Hant-TW,zh,TW,,0,False,zh_Hant_TW.xml
zu,zu,,,10,False,zu.xml
zu-ZA,zu,ZA,,0,False,zu_ZA.xml
